9,心疼半月板一百秒
7,呜呜呜老婆！！！！
7,感觉好疼啊
26,好可爱！！！
20,《翻一次，休一个月》
21,姐妹超级可爱啊啊啊！！！
32,我最爱看美女姐姐了
12,刚好第三次成功 暗示投币呀
5,太可爱
10,很好看 但是要注意安全啊
15,太拼了姐姐，加油！注意安全
33,好可爱啊呜呜呜呜呜
19,呜呜呜姐妹好好可爱好青春好少女！！？
27,太可爱了救命啊啊啊啊啊啊啊
36,太可爱了
5,好可爱啊啊啊啊
30,恋爱后空翻
3,可爱捏
10,妈呀小心好怕脚踝扭伤
9,现在是琪亚娜时间
0,空翻好酷
16,最后还是放弃了前空翻，太容易受伤了
17,真的好疼
3,钢铁半月板
35,可爱捏
44,好可爱啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
42,可爱捏
22,但是也很帅了好吧
39,可可爱爱，但是小心点哦\(//∇//)\
39,这是最好看最温暖的宅舞
44,太可爱啦
15,放弃空翻了哈哈哈
43,好可爱哦
24,辛苦啦！要注意安全哇
14,美女好心疼呜呜
31,好可爱呀！好有韵律
24,注意安全真的
24,可可爱爱
1,可可爱爱
28,可爱捏
17,明明是限速30我却心动得这么快
13,现在是，琪亚娜时间
1,我靠，小亮二～
40,好可爱
27,好厉害！！！！！！！！！
42,尊滴好可爱内
33,初见，可爱，结婚
15,限速30
17,好可爱
16,容易受伤
3,现在是琪亚娜时间
6,狮子连弹！！！
35,我上去就一个滑铲(狗头)
19,姐姐好美！！但是姐姐小心点啊，，
40,可爱捏
1,11.4万的点赞(悲)
33,太会了
41,啊啊啊啊啊啊太可爱了
30,可可爱爱啦，超棒的
28,现在是琪亚娜时间。
0,《恋爱后空翻》
12,可爱捏
17,现在是琪亚娜时间！
7,注意安全啊~
10,痛，太痛了
39,最好~舞台
0,好可爱
7,好！(鼓掌)
16,琪亚娜
28,限速30
25,超级可爱
9,好可爱
42,突然觉得猪腰子鞋挺可爱的
34,好可爱
34,可爱捏
26,这个前翻！好评！！三连了
7,空翻踢
36,这个不用手的前空翻就值得三连，真的强，加油
0,卡哇伊呐
11,妹妹太拼了注意安全好
43,好可爱
9,武僧的爆裂脚（确信）
2,最好的一集㎎8v
10,卡带
7,太可爱了
37,最终只做了个前桥放弃了云里
25,直接拍得不到这么多赞，把过程拍到直接完美了哈哈额
18,好悬一脚，差点给我的八嘎帽踹掉线了
14,哎呀，疼
0,卡哇伊ฅฅ*
0,小亮整个活！
29,好流畅哇
27,记住此处限速哦，小心超速
18,拍的很不错，但要注意安全
22,开心的我点了两次赞
32,适时的欢呼声
40,滑铲的姐妹走错片场了吧哈哈哈哈哈
14,我的心跳180你却让我限速30
28,好努力呀，爱了爱了！！！
10,厚礼蟹
11,《正片结束》
10,小心点呀，注意安全www
15,优雅
7,天哪 注意安全啊
8,摔一下值一个币
39,男的更好
13,南无阿弥陀佛
26,人与人之间的信任呢？
21,juo快摔坏了
31,这里我也就循环了几百遍吧
1,这是毯功技巧云里
24,马赛克在防谁？？？
9,这腰看着感觉就疼咋回事呢
4,㎞5∨ -客沐
33,草，走，忽略！ጿ ኈ ቼ ዽ ጿ​
24,太拼了
1,小亮给他整个活， 忽略 ~ 略 ~ 略
19,坚持就是胜利
3,疼不疼啊！脚估计都麻了
12,听着脚都疼
17,想看完整版，up这一套来个完整的吧
36,内伤了
3,哈哈哈哈哈哈哈哈哈哈哈哈哈哈好
1,哈哈哈哈哈哈哈
26,哈哈哈哈
38,今天我体育课被俩小菜过肩摔了
6,看我的震脚
3,我看到了
23,6666
8,跳我怀里来
29,473万的播放，这些人都不关注吗？
9,鞋、地板太硬，我看到就疼
0,我在期待什么
11,呜呜，这样摔，你以后的老公会心疼的
31,你摔得这么可爱，不给你2个币我都不好意思
4,这么长的裤打个锤子码
18,投币了姐姐
1,青年儿郎怎么能
42,突然疯了。
16,还是伸手撑地了
11,男的
8,后脚跟应该很痛
30,高低给你点个赞
17,[ohhhhhhhhhhhhhhh]
15,帅啊
13,再翻两个跟头
19,注意安全
25,666
31,沃日
24,瞎子都防
14,up辛苦了
28,闪到腰了
26,好漂亮哇
1,太厉害了
25,真实了，砸脚
29,草，走，忽略！ጿ ኈ ቼ ዽ ጿ
2,我方聚变打击已就位~
43,超速了，罚款
4,卧槽
37,小心蚊子
17,厉害
19,有谁能拒绝一个会翻跟头的妹子呢
35,宝，我心疼你这样。咱下次咬打火机吧。[
42,这高低得投两个币
34,技术宅
28,卷死她们
27,亲亲姐姐
32,会不会很痛啊
11,你是懂武蹈的
