1,BGM：圣诞快乐，劳伦斯先生
4,我做过这个英语阅读！
522,真正的传奇
407,50年，正好2077年啊！（泪目）
448,bmg响起的时候 嚎啕大哭……
439,灵魂杀手
435,啊，真的哭了这里
546,“你是真正的传奇”—致来生
340,有娃的人泪目了
485,歌词太应景了（大哭）
93,卧槽老乡
459,這是我最喜歡的感人故事
318,哎卧槽在外面看绷不住已经哭了了，回去接着看
483,作为一个老父亲，看的泪流满面
421,这才是活着的传奇
34,年纪大了看不了这些，呜呜呜
484,卧槽猛男落泪
323,这句话直接绷不住了
380,平凡而伟大的人物
474,《万神殿》
102,基因突变可太倒霉了呀
92,我已经开始哽咽了
4,圣诞快乐，劳伦斯先生
474,我靠，看到这绷不住了
389,看到这儿，泪崩了，绷不住
218,一位好妈妈
90,突然特别伤心
217,眼泪消失在雨中
452,看到relic的介绍哭了
479,“守护你的灵魂！”
479,“守护你的灵魂！”
516,被迫加班
559,配方：37度温水加一勺蜂蜜
159,哎。。。太心酸了。。。
249,原来是他做的！
423,我靠，泪目了
340,善良，伟大，且天妒英才~！
547,这个真的破防了
477,泪目了，这个词放在这也太贴合了
463,绷不住了，还是哭了
134,生命璀璨如歌
482,双倍的刀
83,BGM:圣诞快乐，劳伦斯先生
390,眼睛里进大海了
426,我的天，最近逛闲鱼还看到了
194,卧槽破防了
20,愿这位朋友在天堂安好
317,这句话实在绷不住了
469,歌词太应景了，我哭死
357,夜之城唯一活着的传奇
476,两把刀子哇T-T
468,BGM应景了，泪目
285,我不行了我真的哭死了
488,这一刀像极了去月球那一刀
82,听到这里已经哭了
180,同好。更想哭了
180,同款鲁迅
138,原来世界上没有奇迹
556,up温暖，感谢你发掘到身边这些又暖又酷的故事
397,c到这没忍住
550,加入代码里啊
433,绷不住了！太痛了！
439,这首歌太犯规了！
316,以后一起聊的东西会更多，我真哭了
477,致敬所有好妈妈
540,这个真的很厉害
407,副心脏意味着只要注意保养什么时候都有第二条命可以用
551,绷不住了呀老铁……
82,看了1分钟，我已经绷不住了。
